Contig	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz Mean	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz RPKM	ERR011348_assembly.fa/ERR011348_corrected_1.fastq.gz Covered Fraction
k79_12129	3.6568627	5.1725297	1
k79_84478	3.920354	5.337434	1
k79_72346	4.8818183	6.4301987	1
k79_72347	4.4528303	4.7000394	1
k79_36239	4.215434	5.655	1
k79_72348	2.7978723	3.6983914	1
k79_24173	7.3682094	9.55346	1
k79_72349	2.8829787	4.109324	1
k79_60330	4.5833335	5.9508357	1
k79_48312	6.475712	8.4201975	1
k79_36240	3.8964577	4.99069	1
k79_24174	5.1773586	7.225158	1
k79_72350	4.015544	5.226564	1
k79_24175	6.3461537	7.1055703	1
k79_12130	11.034552	14.055625	0.9927493
k79_48313	6.0239363	7.7812915	1
k79_72351	4.9073277	6.532085	1
k79_12131	5.4528303	5.483379	1
k79_48314	3.6929824	4.557614	1
k79_72352	5.285714	5.898089	1
k79_36241	4.859909	6.534944	1
k79_48315	6.0434785	6.0538874	1
k79_12132	7.343243	10.026751	1
k79_36242	2.8426967	5.0343513	1
k79_48316	2.3137255	4.3019056	1
k79_72353	5.2089043	6.578637	0.98416287
k79_36243	20.428572	18.480677	0.99607843
k79_72354	5.924138	5.4382377	1
k79_36244	4.617391	5.064015	1
k79_36245	2.9438202	3.3562346	1
k79_36246	7.4086957	7.9457264	1
k79_60331	8.438055	11.04735	1
k79_36247	7.080808	6.845572	1
k79_48317	9.722741	12.522178	1
k79_60332	5.0833335	6.1138725	1
k79_36248	3.1222222	4.5955944	1
k79_48318	3.2051282	4.700039	1
k79_60333	5.1921296	6.8912373	1
k79_48319	4.6180906	5.4586897	1
k79_48320	2.7037036	3.886337	1
k79_72355	7.358279	9.554457	1
k79_12133	7.397561	9.616565	0.9981818
k79_48321	5.7310925	5.591125	1
k79_72356	3.6386554	4.845641	1
k79_24176	20.063232	26.131037	1
k79_48322	4.396154	5.1356525	1
k79_84479	7.2282166	9.686055	1
k79_12134	4.7875967	6.432255	1
k79_12135	5.368421	5.7295713	1
k79_60334	5.220612	6.6268754	1
k79_48323	3.5214953	4.5376534	1
k79_72357	6.5665827	8.373291	1
k79_12136	20.393442	18.532854	0.99526066
k79_12137	18.5	19.63572	1
k79_60335	2.935484	3.6162052	1
k79_72358	8.681818	10.666757	1
k79_60336	3.5274725	4.160477	1
k79_72359	3.0092592	4.274971	1
k79_12138	3.7943926	4.6828227	1
k79_60337	7.2539682	8.5774555	1
k79_72360	4.576923	5.753053	1
k79_84480	8.286388	11.219235	1
k79_72361	4.5135136	5.762501	1
k79_84481	3.2259614	4.4812293	1
k79_36249	25.91293	34.162907	1
k79_36250	4.1731343	5.7886395	1
k79_36251	2.485437	3.566828	1
k79_48324	5.5598903	7.2274036	1
k79_60338	12.020769	15.28215	1
k79_36252	5.633333	6.6844997	1
k79_60339	5.5925927	6.6845	1
k79_60340	4.976923	6.8038664	1
k79_84482	6.94802	9.1286125	1
k79_60341	5.611111	6.2667193	1
k79_60342	3.5384614	5.4361897	1
k79_36253	5.8342175	7.2095	1
k79_60343	2.9255319	3.6983914	1
k79_72362	6.978159	9.093242	1
k79_36254	3.070866	3.9817421	1
k79_60344	2.6666667	4.225834	1
k79_36255	9.040322	9.148495	1
k79_84483	10.993279	13.234414	1
k79_60345	4.451923	4.7370477	1
k79_24177	7.6990647	10.112409	1
k79_36256	4.19469	5.337434	1
k79_12139	6.2652926	8.191582	1
k79_84484	7	7.055862	1
k79_24178	4.6608696	6.0538874	1
k79_36257	4.383838	4.429488	1
k79_24179	2.1836734	3.6387398	1
k79_72363	4.459103	5.742192	1
k79_24180	5.080808	6.4428916	1
k79_84485	5.183158	6.5775485	1
k79_24181	7.9159665	8.945799	1
k79_83	30.416233	40.73654	1
k79_84486	4.576271	5.6119876	1
k79_36258	6.547107	8.101084	1
k79_24182	6.746988	7.297951	1
k79_12140	5.1310678	6.382531	1
k79_24183	4.7881355	5.6119876	1
k79_84	3.1472223	3.932059	1
k79_84487	5.7188573	7.4344687	1
k79_85	7.3540487	8.245198	1
k79_48325	30.528784	39.87912	1
k79_86	4.101695	5.2378545	1
k79_48326	4.4322033	5.6119876	1
k79_84488	6.680328	7.380095	1
k79_24184	5.816286	7.6262236	1
k79_72364	7.72872	10.291057	1
k79_60346	5.871342	7.9238753	1
k79_84489	3.0964913	3.7980115	1
k79_24185	4.804124	6.495061	1
k79_72365	2.8695652	3.4815106	1
k79_48327	2.2927756	3.1561198	1
k79_87	5.226837	6.0636935	1
k79_84490	5.192623	7.380095	1
k79_36259	9.516403	12.282211	1
k79_12141	9.656005	12.041638	0.9821641
k79_88	8.350319	12.084356	1
k79_84491	4.052174	6.0538874	1
k79_89	4.6862745	5.570417	1
k79_48328	4.1368423	4.9187827	1
k79_36260	2.843318	3.8249185	1
k79_12142	3.84375	5.6299934	1
k79_36261	3.7126436	4.653766	1
k79_48329	4.6153846	5.8175683	1
k79_24186	3.8718953	5.1503525	0.9956284
k79_90	5.060086	6.283081	1
k79_91	3.6041667	4.4335966	1
k79_24187	4.0438595	5.502485	1
k79_92	6.7525773	6.9010024	1
k79_84492	6.804124	8.554139	1
k79_48330	6.758034	8.2694845	1
k79_12143	14.540146	17.845964	0.99897116
k79_72366	4.3655915	5.9057236	1
k79_60347	7.281007	9.425917	1
k79_48331	8.14074	9.14721	1
k79_36262	8.2686205	10.244048	1
k79_48332	5.067961	5.944714	1
k79_24188	5.4110856	7.3953733	1
k79_60348	5.7320576	7.2617126	1
k79_36263	2.7530863	4.1778126	1
k79_36264	4.2026668	5.729572	1
